sample_id,accession,seq_tech,asm_method,geo_origin,pub_title,pubmed_id,first_aut
SLV_22_00000110,EMP00865,Illumina MiSeq,BWA,El Salvador,Population analysis of complete mitogenomes for 334 samples from El Salvador ,37364481,Aizpurua-Iraola 
SLV_22_00000111,EMP00865,Illumina MiSeq,BWA,El Salvador,Population analysis of complete mitogenomes for 334 samples from El Salvador ,37364481,Aizpurua-Iraola 
SLV_22_00000191,EMP00865,Illumina MiSeq,BWA,El Salvador,Population analysis of complete mitogenomes for 334 samples from El Salvador ,37364481,Aizpurua-Iraola 
SWE_22_00000475,EMP00870,Illumina HiSeq,CLC Genomics Workbench,Sweden,,,
USA_18_00000015,EMP00658,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_18_00000016,EMP00658,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_18_00000031,EMP00658,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_18_00000044,EMP00658,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_18_00000055,EMP00658,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_18_00000244,EMP00659,Illumina MiSeq,"BWA, GATK, mitoSAVE",United States of America,High-quality and high-throughput massively parallel sequencing of the human mitochondrial genome using the Illumina MiSeq,24973578,King
USA_21_00000046,EMP00845,Illumina MiSeq FGx,,United States of America,,,
USA_21_00000054,EMP00845,Illumina MiSeq FGx,,United States of America,,,
USA_21_00000132,EMP00846,,,United States of America,,,
USA_21_00000171,EMP00847,,,United States of America,,,
USA_21_00000189,EMP00847,,,United States of America,,,
USA_21_00000190,EMP00847,,,United States of America,,,
USA_22_00000032,EMP00866,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
USA_22_00000040,EMP00866,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
USA_22_00000066,EMP00866,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
USA_22_00000090,EMP00866,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
USA_22_00000127,EMP00868,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
USA_22_00000189,EMP00869,Illumina MiSeq FGx,CLC Genomics Workbench,United States of America,,,
